# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	Hmel218003o:0-16450716	12417141	12521804	17311.9	8772	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	Hmel221001o:0-13359691	12478130	12570762	9423.4	5572	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	Hmel220003o:0-14585564	5190693	5285987	25417.2	16159	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	Hmel219001o:0-16247306	7768964	7799528	10707.2	5493	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	Hmel212001o:0-16327298	1536086	1583480	10781.3	5786	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	Hmel219001o:0-16247306	11988937	12011042	5519.4	2846	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Missing
13at7088	Complete	Hmel210001o:0-17965481	8727632	8764294	7840.3	3796	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	Hmel214004o:0-8861473	3309746	3343965	8002.8	4591	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	Hmel206001o:0-14054175	5882639	5908936	7087.1	3245	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	Hmel201001o:0-17206585	9973945	9990606	7178.1	3483	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Missing
28at7088	Complete	Hmel201001o:0-17206585	8469039	8508241	7699.4	4375	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	Hmel218003o:0-16450716	14214937	14263133	6016.1	4096	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	Hmel201001o:0-17206585	13460856	13483879	2433.1	1276	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	Hmel201001o:0-17206585	6547093	6577777	6959.3	3466	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	Hmel209001o:0-8708747	3906311	3931117	3190.6	2085	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	Hmel221001o:0-13359691	1451143	1483356	2391.5	1227	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	Hmel218003o:0-16450716	15989869	16002188	1400.0	741	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	Hmel219001o:0-16247306	11252912	11286253	5733.4	2805	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	Hmel206001o:0-14054175	8032120	8049316	4784.6	2494	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	Hmel219001o:0-16247306	14234595	14250506	4684.9	2223	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	Hmel211001o:0-11759272	1970779	2012813	4318.0	2576	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	Hmel204001o:0-9598776	6189955	6218060	3760.6	1924	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	Hmel220003o:0-14585564	1408116	1455657	3582.1	2508	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	Hmel217001o:0-14773299	5360862	5393645	3947.0	1877	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	Hmel219001o:0-16247306	7386448	7416233	4345.8	2427	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	Hmel203003o:0-10486938	5540354	5549799	476.9	278	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
54at7088	Complete	Hmel217001o:0-14773299	1029916	1048524	5200.1	2450	https://www.orthodb.org/v10?query=54at7088	teneurin-m isoform X1
56at7088	Complete	Hmel206001o:0-14054175	4809858	4833487	3578.0	1899	https://www.orthodb.org/v10?query=56at7088	vacuolar protein sorting-associated protein 13A isoform X2
57at7088	Complete	Hmel201001o:0-17206585	11193989	11220191	4556.9	2330	https://www.orthodb.org/v10?query=57at7088	uncharacterized protein LOC106133612
59at7088	Complete	Hmel214004o:0-8861473	4048172	4062802	3477.2	2665	https://www.orthodb.org/v10?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	Hmel217001o:0-14773299	11190246	11210689	3982.9	2226	https://www.orthodb.org/v10?query=60at7088	fat-like cadherin-related tumor suppressor homolog
63at7088	Complete	Hmel218003o:0-16450716	378986	425363	3214.8	1856	https://www.orthodb.org/v10?query=63at7088	vacuolar protein sorting-associated protein 13A-like
64at7088	Complete	Hmel220003o:0-14585564	5537894	5552432	4071.1	1990	https://www.orthodb.org/v10?query=64at7088	LOW QUALITY PROTEIN: carbamoyl-phosphate synthase large chain, chloroplastic
65at7088	Complete	Hmel213001o:0-18127314	10902802	10945866	2935.0	1607	https://www.orthodb.org/v10?query=65at7088	neurobeachin
66at7088	Complete	Hmel212001o:0-16327298	13877689	13898075	4151.3	1869	https://www.orthodb.org/v10?query=66at7088	Pre-mRNA-processing-splicing factor 8
68at7088	Complete	Hmel221001o:0-13359691	1017642	1043787	2795.6	1256	https://www.orthodb.org/v10?query=68at7088	protein furry isoform X1
69at7088	Complete	Hmel205001o:0-9908586	7092311	7103265	4252.6	2132	https://www.orthodb.org/v10?query=69at7088	serine/threonine-protein kinase mTOR-like
70at7088	Complete	Hmel217001o:0-14773299	2496203	2507434	4468.4	2945	https://www.orthodb.org/v10?query=70at7088	cubilin
72at7088	Complete	Hmel211001o:0-11759272	4852946	4905051	3966.8	2109	https://www.orthodb.org/v10?query=72at7088	filamin-A
74at7088	Complete	Hmel207001o:0-14308859	10988256	11007010	4895.0	2383	https://www.orthodb.org/v10?query=74at7088	zinc finger homeobox protein 3
78at7088	Complete	Hmel208001o:0-9320449	2084543	2099181	3244.8	1618	https://www.orthodb.org/v10?query=78at7088	Survivin-1
83at7088	Complete	Hmel218003o:0-16450716	15103718	15142596	4504.7	2251	https://www.orthodb.org/v10?query=83at7088	Inositol 1,4,5-trisphosphate receptor
84at7088	Complete	Hmel208001o:0-9320449	3769876	3791064	3487.1	1696	https://www.orthodb.org/v10?query=84at7088	ubiquitin carboxyl-terminal hydrolase 34
86at7088	Complete	Hmel215003o:0-10168004	5657389	5681963	3118.3	1956	https://www.orthodb.org/v10?query=86at7088	serine/threonine-protein kinase ATR-like
88at7088	Complete	Hmel201001o:0-17206585	11989057	12011645	5792.1	2991	https://www.orthodb.org/v10?query=88at7088	uncharacterized protein LOC101743552
96at7088	Complete	Hmel221001o:0-13359691	5668266	5692913	4011.6	1974	https://www.orthodb.org/v10?query=96at7088	chondroitin sulfate proteoglycan 4
101at7088	Complete	Hmel221001o:0-13359691	5454522	5475442	3035.1	1707	https://www.orthodb.org/v10?query=101at7088	E3 ubiquitin-protein ligase MYCBP2 isoform X1
103at7088	Complete	Hmel204001o:0-9598776	6493819	6530428	2407.3	1414	https://www.orthodb.org/v10?query=103at7088	protein unc-13 homolog A isoform X1
105at7088	Complete	Hmel218003o:0-16450716	14188459	14218532	5444.5	3698	https://www.orthodb.org/v10?query=105at7088	uncharacterized protein LOC106123073
106at7088	Complete	Hmel215003o:0-10168004	6958567	6971520	4501.0	2416	https://www.orthodb.org/v10?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	Hmel211001o:0-11759272	4538606	4561840	4196.0	2070	https://www.orthodb.org/v10?query=112at7088	Ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	Hmel221001o:0-13359691	5392625	5451584	2769.7	1516	https://www.orthodb.org/v10?query=113at7088	kalirin
116at7088	Complete	Hmel201001o:0-17206585	13777412	13792006	3413.6	1717	https://www.orthodb.org/v10?query=116at7088	myosin-VIIa-like
122at7088	Complete	Hmel202001o:0-9045316	3667702	3713568	4087.4	1999	https://www.orthodb.org/v10?query=122at7088	tetratricopeptide repeat protein 28
123at7088	Complete	Hmel208001o:0-9320449	6749828	6777132	2255.1	1188	https://www.orthodb.org/v10?query=123at7088	DNA polymerase epsilon catalytic subunit A
126at7088	Complete	Hmel202001o:0-9045316	6274139	6302398	3046.3	1472	https://www.orthodb.org/v10?query=126at7088	phosphatidylinositol 4-kinase alpha isoform X1
127at7088	Complete	Hmel204001o:0-9598776	3016791	3075038	4220.4	2592	https://www.orthodb.org/v10?query=127at7088	uncharacterized protein LOC106104714
128at7088	Complete	Hmel220003o:0-14585564	10515899	10545043	1718.0	1231	https://www.orthodb.org/v10?query=128at7088	Vacuolar protein sorting-associated protein 13D
133at7088	Complete	Hmel215003o:0-10168004	7538220	7551413	1157.8	838	https://www.orthodb.org/v10?query=133at7088	uncharacterized protein LOC106140978
136at7088	Complete	Hmel201001o:0-17206585	8787505	8812131	2277.6	1183	https://www.orthodb.org/v10?query=136at7088	piezo-type mechanosensitive ion channel component isoform X1
137at7088	Complete	Hmel218003o:0-16450716	4753771	4783803	3501.6	1907	https://www.orthodb.org/v10?query=137at7088	proto-oncogene tyrosine-protein kinase ROS
138at7088	Complete	Hmel215003o:0-10168004	2980133	2989771	2531.8	1822	https://www.orthodb.org/v10?query=138at7088	protein abnormal spindle
139at7088	Complete	Hmel216002o:0-10036885	9548157	9568545	2081.8	1164	https://www.orthodb.org/v10?query=139at7088	protein pecanex-like
140at7088	Complete	Hmel207001o:0-14308859	7366973	7380142	1619.6	735	https://www.orthodb.org/v10?query=140at7088	supervillin-like isoform X1
145at7088	Complete	Hmel204001o:0-9598776	6131099	6154278	1973.8	1007	https://www.orthodb.org/v10?query=145at7088	Sodium channel protein
148at7088	Complete	Hmel205001o:0-9908586	3247334	3283745	2549.7	1433	https://www.orthodb.org/v10?query=148at7088	uncharacterized protein LOC111354061
155at7088	Complete	Hmel203003o:0-10486938	9414887	9432885	4017.6	2402	https://www.orthodb.org/v10?query=155at7088	Adenomatous polyposis coli protein
158at7088	Complete	Hmel214004o:0-8861473	2361941	2393418	2404.4	1217	https://www.orthodb.org/v10?query=158at7088	Sodium channel protein
159at7088	Complete	Hmel208001o:0-9320449	5426705	5432609	1519.6	732	https://www.orthodb.org/v10?query=159at7088	zinc finger FYVE domain-containing protein 26 homolog
160at7088	Complete	Hmel213001o:0-18127314	5047768	5070811	2440.9	994	https://www.orthodb.org/v10?query=160at7088	protein still life, isoform SIF type 1
163at7088	Complete	Hmel217001o:0-14773299	7423297	7440634	3237.2	1632	https://www.orthodb.org/v10?query=163at7088	LOW QUALITY PROTEIN: low-density lipoprotein receptor-related protein 4-like
173at7088	Complete	Hmel202001o:0-9045316	5907530	5931081	3199.5	1464	https://www.orthodb.org/v10?query=173at7088	clathrin heavy chain
177at7088	Complete	Hmel215003o:0-10168004	6446742	6474812	3651.8	1850	https://www.orthodb.org/v10?query=177at7088	voltage-dependent T-type calcium channel subunit alpha-1G-like
179at7088	Complete	Hmel219001o:0-16247306	13290512	13302044	3035.2	1401	https://www.orthodb.org/v10?query=179at7088	uncharacterized protein LOC101741868
183at7088	Complete	Hmel219001o:0-16247306	12441272	12464199	1686.1	942	https://www.orthodb.org/v10?query=183at7088	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase HECTD1
184at7088	Complete	Hmel203003o:0-10486938	327802	354445	3070.4	1622	https://www.orthodb.org/v10?query=184at7088	cadherin-89D
186at7088	Complete	Hmel220003o:0-14585564	5426860	5437874	3075.5	1638	https://www.orthodb.org/v10?query=186at7088	nucleosome-remodeling factor subunit NURF301
190at7088	Complete	Hmel218003o:0-16450716	10044147	10068971	2897.0	1378	https://www.orthodb.org/v10?query=190at7088	NACHT and WD repeat domain-containing protein 2
193at7088	Complete	Hmel207001o:0-14308859	13765385	13773481	3408.7	1544	https://www.orthodb.org/v10?query=193at7088	brefeldin A-inhibited guanine nucleotide-exchange protein 1
196at7088	Missing
200at7088	Complete	Hmel209001o:0-8708747	515435	543890	2760.3	1416	https://www.orthodb.org/v10?query=200at7088	protein unc-79 homolog
201at7088	Complete	Hmel206001o:0-14054175	2128640	2147830	2825.2	1406	https://www.orthodb.org/v10?query=201at7088	uncharacterized protein LOC105392584
204at7088	Complete	Hmel210001o:0-17965481	10442535	10454739	2454.4	1375	https://www.orthodb.org/v10?query=204at7088	uncharacterized protein LOC106100576
206at7088	Complete	Hmel211001o:0-11759272	6778767	6811734	1476.4	706	https://www.orthodb.org/v10?query=206at7088	protein sickie isoform X1
207at7088	Complete	Hmel215003o:0-10168004	1980096	1994697	3169.5	1732	https://www.orthodb.org/v10?query=207at7088	WD repeat-containing protein 81
208at7088	Complete	Hmel210001o:0-17965481	11355677	11368945	2806.6	1417	https://www.orthodb.org/v10?query=208at7088	ras GTPase-activating-like protein IQGAP1
210at7088	Complete	Hmel210001o:0-17965481	11755737	11766766	3681.7	1819	https://www.orthodb.org/v10?query=210at7088	DNA-directed RNA polymerase II subunit RPB1
211at7088	Complete	Hmel220003o:0-14585564	4102193	4114844	3069.6	1673	https://www.orthodb.org/v10?query=211at7088	spatacsin
212at7088	Complete	Hmel221001o:0-13359691	1415091	1436161	2878.1	1471	https://www.orthodb.org/v10?query=212at7088	laminin subunit gamma-1
215at7088	Complete	Hmel205001o:0-9908586	6961090	6976631	3367.0	1660	https://www.orthodb.org/v10?query=215at7088	LOW QUALITY PROTEIN: brefeldin A-inhibited guanine nucleotide-exchange protein 3
