# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	ENA|LR761670|LR761670.1	6081019	6219270	15194.6	7373	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	ENA|LR761650|LR761650.1	15142761	15263403	8937.3	5522	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	ENA|LR761649|LR761649.1	8797999	8896357	16492.3	11598	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	ENA|LR761655|LR761655.1	14681933	14719956	10562.3	5606	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	ENA|LR761654|LR761654.1	6674524	6723363	11141.6	5920	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	ENA|LR761655|LR761655.1	7420841	7452938	5553.9	2796	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	ENA|LR761667|LR761667.1	9596447	9684441	8234.1	4166	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	ENA|LR761648|LR761648.1	3781050	3806041	8020.7	3925	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	ENA|LR761667|LR761667.1	5697621	5738658	7806.6	4442	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	ENA|LR761659|LR761659.1	6627536	6656057	7038.7	3245	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	ENA|LR761647|LR761647.1	11866652	11880479	7068.8	3480	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Missing
28at7088	Complete	ENA|LR761647|LR761647.1	14412647	14441053	2390.9	1637	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
