# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	tig00003605	2452442	2554881	16466.8	8611	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	tig00003540	106195	131437	9067.8	4226	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	tig00001221	7760387	7851883	25273.8	16190	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	tig00001425	1258773	1299519	10668.3	5636	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	tig00000544	625939	659596	8793.6	4834	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	tig00001425	12322805	12350655	3546.3	1796	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	tig00002436	4329644	4390154	6988.4	3648	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	tig00026474	9033369	9067705	7943.6	3896	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	tig00002436	7972628	8011570	7918.3	4493	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	tig00026501	4963696	4990985	7017.3	3245	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	tig00000322	10380460	10399576	7148.9	3490	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Complete	tig00000523	18738284	18809033	7057.0	3504	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	tig00000322	12757066	12800705	7327.2	4288	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	tig00003605	150139	174750	4541.3	3319	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	tig00000322	5175230	5201008	2063.7	1172	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	tig00000322	15432318	15449630	5049.5	2340	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	tig00002680	1172750	1190683	6425.5	3677	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	tig00000523	15454896	15492030	5092.4	2862	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	tig00003198	2278619	2297079	2035.0	1382	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	tig00001425	13812315	13857358	5700.9	2957	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	tig00026501	9888047	9898989	4139.5	2193	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	tig00001425	8842900	8878271	5119.5	2563	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	tig00000657	3567775	3611935	4883.9	2900	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	tig00026516	9017820	9054904	4518.1	2331	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	tig00001221	13292441	13367156	3549.7	2515	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	tig00000664	7732647	7777968	3587.8	1679	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	tig00001425	1784482	1809730	4333.5	2430	https://www.orthodb.org/v10?query=51at7088	protein dachsous
