# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	chr26	2006160	2086349	16773.5	8760	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	chr1	6367768	6438946	9370.0	5481	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	chr9	4978630	5026352	14965.9	9733	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	chr11	576299	608358	10631.1	5707	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	chr24	4642603	4685153	10401.1	5756	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	chr11	5061493	5078385	5454.9	2757	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	chr17	2649579	2683316	8230.6	4191	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Fragmented	chr4	8030343	8045157	6047.0	2737	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	chr17	5291361	5320249	8087.4	4650	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	chr8	3057819	3073563	6947.7	3202	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	chr5	3627505	3642943	7168.6	3497	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Complete	chr1	10831744	10871469	7019.5	3487	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	chr5	3137857	3153109	1139.5	741	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	chr26	3430196	3448945	4373.1	2915	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	chr5	7113052	7127977	2755.9	1497	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	chr5	686847	714024	7037.4	3613	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	chr21	2573605	2593540	5587.3	3278	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	chr1	8826124	8856487	2758.4	1528	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	chr26	4802510	4813949	2082.0	1269	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	chr11	4352242	4385631	5847.6	2845	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	chr8	6071031	6083264	4819.0	2538	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	chr11	7550999	7579886	4885.8	2415	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	chr2	2346172	2372971	4837.3	2875	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	chr10	5898537	5930457	4469.7	2237	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	chr9	1133718	1162421	4316.4	2939	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Missing
51at7088	Complete	chr11	1076188	1100547	4247.1	2384	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	chr12	3691441	3697961	1027.3	507	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
