# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	HiC_scaffold_9	4781824	4864064	16182.9	7348	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	HiC_scaffold_30	5577635	5628817	9230.2	4279	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	HiC_scaffold_10	7478654	7563608	25027.5	20601	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	HiC_scaffold_7	13035187	13068422	10740.2	5559	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	HiC_scaffold_16	2402832	2466331	10561.7	5601	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	HiC_scaffold_7	8776702	8806927	5757.4	2846	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Missing
13at7088	Complete	HiC_scaffold_12	7413410	7452502	4582.4	3468	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	HiC_scaffold_21	9675396	9714539	7789.7	4246	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	HiC_scaffold_6	8220724	8250831	6968.4	3206	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	HiC_scaffold_21	6136324	6156769	7092.3	3475	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	HiC_scaffold_11	2851212	2889308	4845.9	2536	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	HiC_scaffold_30	1647056	1679137	4863.4	2914	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	HiC_scaffold_11	4625066	4633271	1033.1	523	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	HiC_scaffold_9	9658001	9718280	7813.0	4649	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	HiC_scaffold_11	9829953	9858626	2950.2	1627	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
