# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	tig00000659	5259306	5363983	16768.9	8694	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	tig00000026	16294807	16396131	9307.1	5186	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	tig00000001	16503611	16588998	24598.3	15999	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	tig00000246	12248659	12284505	10704.7	5764	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	tig00000635	2311756	2354670	10166.5	5492	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	tig00000246	3792444	3819211	3646.4	1898	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	tig00000048	7417922	7481593	8280.0	4147	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	tig00000061	11654750	11680997	7636.7	3793	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	tig00000048	10796739	10827532	7917.3	4522	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	tig00000155	7820071	7840727	7044.0	3246	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	tig00000001	9053802	9067642	7127.6	3479	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	tig00000199	1028778	1059689	2834.1	3239	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Missing
28at7088	Complete	tig00000104	768707	793190	1723.4	1131	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	tig00000659	2973792	3025361	7518.6	4746	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	tig00000001	4719801	4745316	4685.2	2370	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	tig00000104	3184848	3195333	1230.9	870	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	tig00000526	4726524	4742750	6488.5	3635	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	tig00000026	8599156	8617580	3514.9	1962	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	tig00000659	712132	728102	2010.1	1198	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	tig00000246	5652435	5682786	5901.7	2973	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	tig00000155	3797101	3816773	5180.6	2700	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	tig00000246	179850	217112	4980.5	2480	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	tig00000864	2996830	3042863	4121.7	2396	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	tig00000287	7935812	7958161	4734.0	2365	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	tig00000200	1982569	2031370	3463.4	2504	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	tig00000100	7574656	7615122	3742.2	1774	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	tig00000246	11769222	11798098	3310.9	1897	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	tig00000270	7306807	7319893	1290.3	691	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
54at7088	Complete	tig00000100	10013187	10030081	5408.7	2484	https://www.orthodb.org/v10?query=54at7088	teneurin-m isoform X1
56at7088	Complete	tig00000155	6415154	6423050	1199.2	735	https://www.orthodb.org/v10?query=56at7088	vacuolar protein sorting-associated protein 13A isoform X2
57at7088	Complete	tig00000001	7552633	7580783	4704.3	2333	https://www.orthodb.org/v10?query=57at7088	uncharacterized protein LOC106133612
59at7088	Complete	tig00000048	9952616	9965405	4135.4	3374	https://www.orthodb.org/v10?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	tig00000100	15817	49330	3546.7	2105	https://www.orthodb.org/v10?query=60at7088	fat-like cadherin-related tumor suppressor homolog
63at7088	Complete	tig00000278	787383	829213	4241.4	2569	https://www.orthodb.org/v10?query=63at7088	vacuolar protein sorting-associated protein 13A-like
64at7088	Complete	tig00000001	16211596	16221805	4087.9	2007	https://www.orthodb.org/v10?query=64at7088	LOW QUALITY PROTEIN: carbamoyl-phosphate synthase large chain, chloroplastic
65at7088	Complete	tig00000530	10087007	10117967	2867.1	1554	https://www.orthodb.org/v10?query=65at7088	neurobeachin
66at7088	Complete	tig00000303	3204937	3223271	2475.9	1169	https://www.orthodb.org/v10?query=66at7088	Pre-mRNA-processing-splicing factor 8
68at7088	Complete	tig00000026	1385278	1423164	1505.7	856	https://www.orthodb.org/v10?query=68at7088	protein furry isoform X1
69at7088	Complete	tig00000390	3492417	3506051	4213.0	2132	https://www.orthodb.org/v10?query=69at7088	serine/threonine-protein kinase mTOR-like
70at7088	Complete	tig00000100	12050974	12066276	4285.8	2905	https://www.orthodb.org/v10?query=70at7088	cubilin
72at7088	Complete	tig00000504	3160482	3231797	4279.7	2182	https://www.orthodb.org/v10?query=72at7088	filamin-A
74at7088	Complete	tig00000368	7405078	7430127	4901.3	2388	https://www.orthodb.org/v10?query=74at7088	zinc finger homeobox protein 3
78at7088	Complete	tig00000442	8698178	8736377	4455.4	2843	https://www.orthodb.org/v10?query=78at7088	Survivin-1
83at7088	Complete	tig00000659	1820851	1842807	2523.1	1380	https://www.orthodb.org/v10?query=83at7088	Inositol 1,4,5-trisphosphate receptor
84at7088	Complete	tig00000442	6643082	6664271	3158.4	1620	https://www.orthodb.org/v10?query=84at7088	ubiquitin carboxyl-terminal hydrolase 34
86at7088	Complete	tig00000199	8341250	8363288	3252.3	1960	https://www.orthodb.org/v10?query=86at7088	serine/threonine-protein kinase ATR-like
88at7088	Complete	tig00000001	6568474	6589556	3817.4	2269	https://www.orthodb.org/v10?query=88at7088	uncharacterized protein LOC101743552
96at7088	Complete	tig00000026	2703408	2745717	3697.4	1809	https://www.orthodb.org/v10?query=96at7088	chondroitin sulfate proteoglycan 4
101at7088	Complete	tig00000026	2081210	2110058	2922.0	1649	https://www.orthodb.org/v10?query=101at7088	E3 ubiquitin-protein ligase MYCBP2 isoform X1
103at7088	Complete	tig00000287	8279291	8335335	4008.1	2115	https://www.orthodb.org/v10?query=103at7088	protein unc-13 homolog A isoform X1
105at7088	Complete	tig00000659	3027432	3056754	2295.3	1811	https://www.orthodb.org/v10?query=105at7088	uncharacterized protein LOC106123073
106at7088	Complete	tig00000199	9898866	9912721	3370.3	1910	https://www.orthodb.org/v10?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	tig00000504	2798364	2815078	3746.1	1841	https://www.orthodb.org/v10?query=112at7088	Ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	tig00000026	2034728	2077598	2076.3	1097	https://www.orthodb.org/v10?query=113at7088	kalirin
116at7088	Complete	tig00000001	4329358	4349733	3364.7	1733	https://www.orthodb.org/v10?query=116at7088	myosin-VIIa-like
122at7088	Complete	tig00000560	5363829	5413785	3149.8	2055	https://www.orthodb.org/v10?query=122at7088	tetratricopeptide repeat protein 28
123at7088	Complete	tig00000442	3030194	3059136	3127.0	1664	https://www.orthodb.org/v10?query=123at7088	DNA polymerase epsilon catalytic subunit A
126at7088	Complete	tig00000560	9124673	9156863	3544.0	1775	https://www.orthodb.org/v10?query=126at7088	phosphatidylinositol 4-kinase alpha isoform X1
127at7088	Complete	tig00000287	7415611	7464739	3840.2	2411	https://www.orthodb.org/v10?query=127at7088	uncharacterized protein LOC106104714
128at7088	Missing
133at7088	Complete	tig00000199	13286767	13302970	1904.1	1626	https://www.orthodb.org/v10?query=133at7088	uncharacterized protein LOC106140978
136at7088	Complete	tig00000104	436434	461107	2731.8	1514	https://www.orthodb.org/v10?query=136at7088	piezo-type mechanosensitive ion channel component isoform X1
