# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	tig00001067	2805717	2890334	16474.8	8549	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	tig00000017	2826971	2916050	9393.3	5094	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	tig00000200	5266017	5352281	25446.0	16031	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	tig00000342	8595650	8628219	10738.9	5843	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	tig00001046	1280014	1327283	10501.9	5597	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	tig00000342	5880817	5903463	5746.3	2827	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Missing
13at7088	Complete	tig00000094	3143770	3170241	5101.6	3717	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	tig00000709	3239713	3269680	8004.2	4478	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	tig00000405	3575766	3604413	7045.1	3206	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	tig00000709	5495852	5511587	7174.9	3498	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	tig00010237	2362381	2389355	6820.7	3311	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	tig00000017	499624	522638	5319.0	3052	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	tig00010237	3247666	3266703	2190.3	1291	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	tig00001067	3812925	3855196	7368.3	4319	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	tig00010237	7425755	7440642	2720.7	1535	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	tig00010237	648229	656569	994.8	736	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	tig00000876	2741762	2764517	6235.8	3376	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
