# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	tig00000014	3372568	3479407	16971.2	8848	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	tig00000656	65753	174854	9403.1	5783	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	tig00000001	10936355	11019726	25032.8	20926	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	tig00000436	1092921	1125455	10640.1	5884	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	tig00000727	2293068	2333816	11196.7	6021	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	tig00000001	2952374	2983296	3882.6	2016	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	tig00000595	8198416	8259561	8075.4	3905	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	tig00000032	5661499	5684198	7388.2	3426	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	tig00000595	4831215	4863877	7927.6	4524	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	tig00000345	8654741	8682031	6896.0	3192	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	tig00000199	5481587	5498555	7117.8	3469	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Complete	tig00000656	6002053	6038630	4068.2	2143	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	tig00000199	3691047	3732674	6900.7	4162	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	tig00000014	5714780	5743070	5089.9	3644	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
