# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	M24_B27_H18b	4435847	4562915	17131.1	8678	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	M01_B01_H21	21892687	21988360	9302.3	5621	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Missing
3at7088	Complete	M04_B12_H19a	16372106	16415060	10690.9	5603	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	M25_B20_H12b	3284416	3340812	8239.4	4844	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	M04_B12_H19a	8299970	8329675	4412.0	2214	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	M16_B19_H14	11225054	11287541	8231.7	4162	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	M06_B05_H10a	4881465	4921472	8061.9	3895	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	M16_B19_H14	6608839	6651103	7814.3	4550	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	M10_B09_H06a	8423411	8450507	6968.2	3215	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	M02_B04_H01a	7644904	7665600	7153.9	3470	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Complete	M01_B01_H21	14480230	14547466	7106.6	3508	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	M02_B04_H01a	4572642	4610950	6046.9	3671	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	M24_B27_H18b	7314285	7374870	5889.1	4048	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	M02_B04_H01a	12878135	12903914	2924.3	1621	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	M02_B04_H01a	1573835	1582363	4347.7	1912	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	M20_B07_H09	6172712	6186611	5607.9	3036	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	M01_B01_H21	11754447	11780471	2254.1	1398	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	M24_B27_H18b	10620666	10642465	1658.9	969	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	M04_B12_H19a	9476931	9517712	5552.2	2758	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	M10_B09_H06a	14050053	14079854	4941.6	2529	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	M04_B12_H19a	3480009	3528111	5023.2	2478	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	M03_B15_H11	15768885	15782522	4948.9	2914	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	M19_B21_H04	10513263	10553352	3844.8	1976	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	M09_B10_H20a	2546407	2625340	3663.5	2726	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	M15_B13_H17a	9132641	9175734	3848.3	1825	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	M04_B12_H19a	15788701	15826333	4358.1	2408	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	M05_B06_H03	9243427	9288219	5551.4	2836	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
54at7088	Complete	M15_B13_H17a	1674412	1694829	5375.1	2446	https://www.orthodb.org/v10?query=54at7088	teneurin-m isoform X1
56at7088	Complete	M10_B09_H06a	10647134	10660924	960.8	586	https://www.orthodb.org/v10?query=56at7088	vacuolar protein sorting-associated protein 13A isoform X2
57at7088	Complete	M02_B04_H01a	9305357	9324184	3103.8	1554	https://www.orthodb.org/v10?query=57at7088	uncharacterized protein LOC106133612
59at7088	Complete	M16_B19_H14	7725032	7740841	4388.8	3721	https://www.orthodb.org/v10?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	M15_B13_H17a	19415533	19432475	2299.5	1364	https://www.orthodb.org/v10?query=60at7088	fat-like cadherin-related tumor suppressor homolog
63at7088	Complete	M14_B23a_H18a	1033788	1083764	4625.5	2731	https://www.orthodb.org/v10?query=63at7088	vacuolar protein sorting-associated protein 13A-like
64at7088	Complete	M09_B10_H20a	9620251	9640258	3970.6	2007	https://www.orthodb.org/v10?query=64at7088	LOW QUALITY PROTEIN: carbamoyl-phosphate synthase large chain, chloroplastic
65at7088	Complete	M26_B14_H13b	506426	527506	722.9	441	https://www.orthodb.org/v10?query=65at7088	neurobeachin
66at7088	Complete	M13_B08_H12a	4258488	4280725	3924.0	1801	https://www.orthodb.org/v10?query=66at7088	Pre-mRNA-processing-splicing factor 8
68at7088	Complete	M01_B01_H21	2180469	2198352	858.1	427	https://www.orthodb.org/v10?query=68at7088	protein furry isoform X1
69at7088	Complete	M17_B03_H05	4895168	4914621	4157.5	2101	https://www.orthodb.org/v10?query=69at7088	serine/threonine-protein kinase mTOR-like
70at7088	Complete	M15_B13_H17a	4435478	4446724	4368.8	2945	https://www.orthodb.org/v10?query=70at7088	cubilin
72at7088	Complete	M03_B15_H11	11114703	11188132	3504.9	1780	https://www.orthodb.org/v10?query=72at7088	filamin-A
74at7088	Complete	M12_B11a_H07a	6676513	6714945	4202.6	2259	https://www.orthodb.org/v10?query=74at7088	zinc finger homeobox protein 3
78at7088	Complete	M18_B25_H08	11351083	11427861	4496.4	3021	https://www.orthodb.org/v10?query=78at7088	Survivin-1
83at7088	Complete	M24_B27_H18b	8737761	8815209	4474.0	2233	https://www.orthodb.org/v10?query=83at7088	Inositol 1,4,5-trisphosphate receptor
84at7088	Complete	M18_B25_H08	8570101	8600842	2883.8	1461	https://www.orthodb.org/v10?query=84at7088	ubiquitin carboxyl-terminal hydrolase 34
86at7088	Complete	M08_B17_H15	1412147	1438964	1977.7	1517	https://www.orthodb.org/v10?query=86at7088	serine/threonine-protein kinase ATR-like
88at7088	Complete	M02_B04_H01a	10781026	10814865	5629.9	2986	https://www.orthodb.org/v10?query=88at7088	uncharacterized protein LOC101743552
96at7088	Complete	M01_B01_H21	4414032	4457409	3938.8	1934	https://www.orthodb.org/v10?query=96at7088	chondroitin sulfate proteoglycan 4
101at7088	Complete	M01_B01_H21	5827963	5855949	3029.0	1729	https://www.orthodb.org/v10?query=101at7088	E3 ubiquitin-protein ligase MYCBP2 isoform X1
103at7088	Complete	M19_B21_H04	10993231	11057529	1322.2	1126	https://www.orthodb.org/v10?query=103at7088	protein unc-13 homolog A isoform X1
