# BUSCO version is: 4.0.5 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2019-11-20, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at7088	Complete	tig00000113	1055750	1167273	17019.6	8644	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	tig00000245	200363	218286	9241.6	4279	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	tig00000084	4443192	4523125	23188.2	15547	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	tig00000242	1630990	1669887	10718.1	5579	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	tig00000148	1277591	1323271	10837.7	5774	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	tig00000323	1788159	1816833	4951.9	2510	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	tig00000142	424744	490843	8367.8	4098	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	tig00000001	10874763	10907868	7561.4	3701	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	tig00000142	4288804	4320271	8000.6	4523	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	tig00000498	274744	297084	7045.8	3245	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	tig00000070	125697	145727	7160.1	3496	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Missing
27at7088	Complete	tig00000109	4271963	4337488	7043.7	3496	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	tig00000070	1988490	2026678	6426.2	3842	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	tig00000079	5872835	5901560	5472.4	3870	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
